- Text database for dialog box keyboard shortcuts

schema: *key,text

; non testé
Accept,               A
; non testé
Reject,               R
; non testé
Cancel,               C
Yes,                  O
No,                   N
- Will most likely be the default button too
OK,                   O
Male,                 H
Female,               F
Add,                  A
Delete,               D
Edit,                 E
Copy,                 C
Guilty,               C
NotGuilty,            N
Debate,               D
Lie,                  M
Anchor,               A
Teleport,             T

-- Game Setup menu
GameSetupPlay,             J
GameSetupAdvancedSettings, A
GameSetupMods,             M
GameSetupClose,            F
GameSetupBackToOptions,    O
GameSetupRestart,          R
GameSetupRefresh,          R
GameSetupSaveAndClose,     S
GameSetupExit,             Q

-- Main menu
MainMenuLoad,         C
MainMenuStart,        N
MainMenuExit,         Q

-- Options menu
OptionsExit,          Q
; Conflit entre "Continuer" "Charger" et "Contrôles"
OptionsContinue,      O
OptionsSave,          S
OptionsLoad,          C
OptionsControls,      N
OptionsFullScreen,    P
OptionsHeadBobbing,   T
OptionsDropdown,      D

-- General
Pause,                Shift-Escape
LargeHUDToggle,       F10
HUDToggle,            Shift-F10
ToggleRetroPP,        Shift-F11

-- Debugger
DebuggerToggle,       Ctrl-Shift-D
DebuggerPrevQuest,    Ctrl-Shift-LeftArrow
DebuggerNextQuest,    Ctrl-Shift-RightArrow
DebuggerPrevMarker,   Ctrl-Shift-UpArrow
DebuggerNextMarker,   Ctrl-Shift-DownArrow

-- Rest menu
RestForAWhile,        P
RestUntilHealed,      J
RestLoiter,           F
RestStop,             S

-- Transport menu
TransportFoot,        A
TransportHorse,       C
TransportCart,        H
TransportShip,        B
TransportExit,        S

-- Travel map screen
TravelMapFind,        C
TravelMapList,        L

-- Talk screen
TalkTellMeAbout,      P
TalkWhereIs,          O
TalkCategoryLocation, L
TalkCategoryPeople,   G
TalkCategoryThings,   C
TalkCategoryWork,     T
TalkAsk,              D
TalkExit,             A
; Conflit entre "Choses" et "Copier"
TalkCopy,             N
TalkTonePolite,       F1
TalkToneNormal,       F2
TalkToneBlunt,        F3

-- Spellbook screen
SpellbookDelete,      E
SpellbookUp,          H
SpellbookSort,        T
SpellbookDown,        B
SpellbookBuy,         A
SpellbookExit,        S

-- Travel menu
TravelBegin,               A
TravelExit,                S
TravelSpeedToggle,         V
TravelTransportModeToggle, T
TravelInnCampOutToggle,    E

-- Character Sheet screen
CharacterSheetName,            N
; Conflit entre "Nom" et "Niveau"
CharacterSheetLevel,           V
CharacterSheetGold,            O
; Conflit entre "Santé" et "Sortie"
CharacterSheetHealth,          T
CharacterSheetAffiliations,    A
CharacterSheetPrimarySkills,   F1
CharacterSheetMajorSkills,     F2
CharacterSheetMinorSkills,     F3
CharacterSheetMiscSkills,      F4
CharacterSheetInventory,       I
CharacterSheetSpellbook,       L
CharacterSheetLogbook,         N
CharacterSheetHistory,         H
CharacterSheetExit,            S

-- Quest Journal screen
JournalNextCategory,           D
JournalNextPage,               DownArrow
JournalPreviousPage,           UpArrow
JournalExit,                   S

-- Player History screen
HistoryNextPage,               DownArrow
HistoryPreviousPage,           UpArrow
HistoryExit,                   S

-- Inventory screen
InventoryWeapons,     F1
InventoryMagic,       F2
InventoryClothing,    F3
InventoryIngredients, F4
InventoryWagon,       C
InventoryInfo,        I
InventoryEquip,       E
; Conflit entre "Équipe" et "Enlève"
InventoryRemove,      N
InventoryUse,         U
InventoryGold,        O
InventoryExit,        S

-- Merchant menu
MerchantRepair,       R
MerchantTalk,         D
MerchantSell,         V
MerchantExit,         S

-- Trade screen - keep in sync with inventory?
TradeWagon,           C
TradeInfo,            I
; Conflit entre "Select" et "Sortie"
TradeSelect,          T
TradeSteal,           V
TradeBuy,             A
TradeIdentify,        I
TradeRepair,          R
TradeSell,            V
TradeClear,           E
TradeExit,            S

-- Taverns menu
TavernRoom,           C
TavernTalk,           P
TavernFood,           M
TavernExit,           A

-- Guilds
GuildsJoin,           R
GuildsTalk,           P
GuildsExit,           S
GuildsTraining,       E
GuildsGetQuest,       O
GuildsRepair,         R
GuildsIdentify,       I
GuildsDonate,         F
GuildsCure,           G
GuildsBuyPotions,     B
GuildsMakePotions,    M
GuildsBuySpells,      A
GuildsMakeSpells,     F
GuildsBuyMagicItems,  A
GuildsMakeMagicItems, F
GuildsSellMagicItems, S
GuildsTeleport,       T
GuildsDaedraSummon,   I
; non testé
GuildsSpymaster,      S
GuildsBuySoulgems,    A
; non testé
GuildsReceiveArmor,   R
; non testé
GuildsReceiveHouse,   R

-- Witches Covens
; non testé
WitchesTalk,          T
; non testé
WitchesDaedraSummon,  D
; non testé
WitchesQuest,         Q
; non testé
WitchesExit,          E

-- Spellmaker screen
; Conflit entre "Ajouter" et "Achat"
SpellMakerAddEffect,            E
SpellMakerBuySpell,             A
SpellMakerNewSpell,             N
