Key,Value
17,Oblivion
1,Vil Clavicus
2,Mehrunes Dagon
3,Molag Bal
4,Hircine
5,Sanguine
6,Peryite
7,Malacath
8,Hermaeus Mora
10,Boéthiah
11,Namira
12,Méridia
13,Vaernima
14,Nocturne
15,Méphala
356,La Mère de la Nuit
108,La Confrérie noire
839,Entraîneurs noirs
840,Alchimistes noirs
841,Maîtres du venin
842,Conspirateurs noirs
843,Lieurs noirs
807,Assassins noirs
16,Azura
9,Shéogorath
450,Temple
240,Missionnaires du Temple
810,Trésoriers du Temple
813,Guérisseurs du Temple
811,Bénisseurs du Temple
25,Ébonarm
90,La Citadelle d'Ébonarm
91,Les Seigneurs de Bataille
21,Arkay
82,L'Ordre d'Arkay
83,Les Chevaliers du Cercle
453,Apothicaires d'Arkay
454,Alchimistes d'Arkay
456,Invocateurs d'Arkay
455,Lieurs d'Arkay
241,Professeurs d'Arkay
22,Zen
84,La Résolution de Z'en
85,Les Chevaliers du Fer
462,Apothicaires de Z'en
463,Alchimistes de Z'en
464,Invocateurs de Z'en
243,Professeurs de Z'en
24,Mara
88,La Bienveillance de Mara
402,Seigneur Quistley
89,Les Chevaliers de Mara
468,Apothicaires de Mara
469,Alchimistes de Mara
470,Invocateurs de Mara
245,Professeurs de Mara
26,Akatosh
92,La Chantrerie d'Akatosh
93,L'Ordre de l'Heure
385,Charvek-si
473,Apothicaires d'Akatosh
474,Alchimistes d'Akatosh
475,Invocateurs d'Akatosh
247,Professeurs d'Akatosh
27,Julianos
94,L’École de Julianos
95,Les Chevaliers Mentors
407,Br'itsa
480,Artisans de Julianos
481,Forgerons de Julianos
482,Invocateurs de Julianos
249,Professeurs de Julianos
29,Dibella
98,La Maison de Dibella
99,L'Ordre du Lys
485,Apothicaires de Dibella
487,Alchimistes de Dibella
488,Invocateurs de Dibella
250,Professeurs de Dibella
33,Stendarr
106,Le Temple de Stendarr
107,Les Croisés
490,Apothicaires de Stendarr
491,Alchimistes de Stendarr
492,Invocateurs de Stendarr
252,Professeurs de Stendarr
35,Kynareth
36,Le Temple de Kynareth
37,L'Ordre Kynarien
370,Seigneur Coulder
497,Forgeurs de sorts de Kynareth
498,Invocateurs de Kynareth
496,Enchanteurs de Kynareth
254,Professeurs de Kynareth
977,Secrets d'Oblivion
40,La Guilde des Mages
68,L'Archimage
69,Le Maître de guilde
369,Popudax
396,Karethys
71,Le Maître de l'Art
70,Le Maître de l'enseignement
74,Le Maître de la divination
72,Le Maître d'arme
73,Le Palatinus
76,Le Maître des initiés
60,Les Universitaires
61,Les Patriciens
62,La Ligue des Voyageurs
63,Les Mages mercenaires
64,Les Isolationistes
65,Les Mages fournisseurs
66,La Cabale
67,L'Ordre de la Lampe
801,Les Mages Odyliques
802,Les Artisans
150,Clan Vraseth
151,Clan Haarvenu
152,Clan Thrafey
153,Clan Lyrezi
154,Clan Montalion
155,Clan Khulari
156,Clan Garlythi
157,Clan Anthotis
158,Clan Selenu
41,La Guilde des Guerriers
849,Entraîneurs guerriers
850,Armuriers guerriers
851,Donneurs de quêtes guerriers
42,La Guilde des Voleurs
77,Le Maître de guilde
373,Le Corbeau
388,Thaik
399,Le Calamar
375,Seigneur Bertram Spode
374,Thyr Topfield
389,Whitka
18,Le Maître des initiés
803,Les entraîneurs de l'Ombre
804,Les tisseurs de l'Ombre
805,Les receleurs de l'Ombre
806,Les espions de l'Ombre
852,la classe dirigeante
242,la noblesse
853,la chevalerie
