Key,Value
22400,une magnifique jeune fille
22401,un guerrier ténébreux
22402,un enfant inquiétant
22403,un homme cornu
22404,une monstruosité griffue
22405,un humanoïde vert
22406,un géant à quatre bras
22407,une femme sombre
22408,une femme blonde
22409,un homme aux pieds fourchus
22410,une femme brune
22411,une femme vêtue de noir
22412,un serpent vert
22413,un géant écarlate
22414,un élégant gentilhomme
22415,une mégère ratatinée
22528,un homme masqué de noir
22529,un homme masqué de noir
22530,une danseuse aux seins nus
22531,une danseuse aux seins nus
22532,une danseuse
22533,un homme masqué de noir
22534,une femme en rouge et noir
22656,un vieil homme encapuchonné
22657,un vieil homme avec un chapeau
22658,un homme chauve
22659,une femme blonde
22660,un homme aux yeux luminescents
22661,un artisan magicien
22784,une femme encapuchonnée
22785,un homme encapuchonné de rouge
22785,un homme masqué
22786,un homme masqué de rouge
22787,un homme masqué de rouge
22788,un homme aux yeux luminescents
22789,une danseuse coiffée de rouge
22790,une danseuse coiffée de rouge
22912,une femme nue aux cheveux bruns
22913,une femme nue
22914,une femme mystérieuse
22915,une danseuse coiffée de noir
22916,une femme rousse
23040,une femme en rouge et noir
23041,une noble dame vêtue de bleu
23042,un homme bien vêtu
23043,un homme corpulent en violet
23168,un homme encapuchonné de bleu
23169,une jeune femme en bleu
23170,un homme en robe bleu
23171,un garçon en aube bleue
23172,une belle blonde
23173,une danseuse portant du bleu
23174,une danseuse coiffée de bleu
23175,une danseuse coiffée de bleu
23296,un vieil homme grisonnant
23297,un gros chauve
23298,un homme à la barbe blonde
23299,un homme barbu
23300,un garçon bien vêtu
23301,un bouffon
23302,un bouffon
23303,un homme à la barbe blanche
23304,un homme portant une toque
23305,une femme en gris
23306,une femme en bleu
23307,une accorte jeune fille
23308,une laitière
23309,un homme portant du brun
23310,un homme sous un chapeau brun
23311,un patricien blond
23312,un homme à barbe blonde
23313,un homme à barbe blonde
23314,un jeune homme brun
23315,un homme habillé de gris
23316,un homme avec une veste verte
23317,un vieux mendiant
23318,un vieil homme en robe
23319,un homme à la veste bleue
23320,un vieil homme barbu
23321,un marin débraillé
23322,une jeune dame en vert
23323,une dame élégamment vêtue
23324,une femme au capuchon bleu
23325,un vieil infirme pathétique
23326,un chauve pitoyable
23327,un chauve pitoyable
23328,une putain de bonne mine
23329,une prostituée
23330,une putain blonde
23331,un marin débraillé
23332,un charmeur de serpent
23333,un joueur de flûte
23334,une petite fille
23335,un balayeur
23336,un homme à la mine d'un sage
23337,une femme très remarquable
23338,un page
23339,un petit garçon
23340,une vieille
23341,une femme à mine d'aventurière
23342,un beau jeune homme
23343,une jolie jeune femme
23344,une putain blonde
23345,un jongleur
23346,un flûtiste
23347,un joueur de luth
23348,un tambourineur
23349,un jeune carillonneur
23350,un homme encapuchonné
23351,un homme encapuchonné
23352,une femme encapuchonnée
23353,un homme presque nu
23354,un homme presque nu
23355,un forgeron
23424,un prince étincelant
23425,une princesse étincelante
23426,un garde
23427,un garde
23428,un homme à la noble allure
23429,un flamboyant jeune homme
23430,un roi barbu
23431,un roi enturbanné
23432,une reine aux cheveux blancs
23433,une reine brune
23434,un roi
23435,une reine
23436,un moine cagoulé
23437,un roi jeune et beau
23438,une brune magnifique
23439,une vieille aveugle
23440,un gros homme élégant
23441,une sorcière débraillée
23442,une superbe Redguard
23443,un orque majestueux
23444,un roi elfe noir
23445,une reine blonde
23552,un marchand aisé
23553,une femme en cape
23554,un homme en robe verte
23555,un flûtiste bedonnant
23556,un jeune homme avec un bandeau
23557,une belle blonde
23558,une fille aux seins nus
23559,une blonde racoleuse
23560,une pute blonde
23561,une brune pulpeuse
23562,une blonde éclatante
23563,une femme nue blonde
23564,une brune nue
23565,une blonde nue
23566,une brune nue
23567,un jeune loqueteux
23568,un vieux joufflu
23569,un paysan costaud
23570,une diablesse féroce
23571,une jolie blonde
23572,un homme en mauve
23573,un vieil homme barbu
23574,une femme avec un bâton
23575,une femme en pantalon vert
23576,un voyou brun
23577,un jeune blond
23578,une rouquine
23579,un mendiant famélique
23580,une rouquine
23581,une blonde portant du bleu
23582,une femme à la peau foncée
23583,un esclave chauve
23584,une guerrière ténébreuse
23585,une brune plantureuse
23586,un cavalier
25472,Lumière
25473,Lumière
25474,Daedra
25475,Invocation
25476,Rest
25477,Cour
25478,Fosse
25479,Effet
25480,Entrée
25481,Chemin
25482,Début
25483,Quête
25484,Créer
25485,Prison
25486,Sortie de prison
25487,Monstre aléatoire
25488,Monstre
25488,Téléportation
25488,Objet de quête
42771,Gothryd
42773,Aubki
42752,Provlith
42753,Popudax
42757,Cyadasga
42756,Myniseva
42770,Mobar
42769,Bridwell
23040,Dame Bridwell
45703,Prince Lhotuu
42762,Dame Northbridge
45711,Reine Akorithi
45697,Prince Guelelith
44305,princesse Elysana
44288,Princesse Morgiah
44310,Reine Barenziah
44309,Roi Eadwyre
44304,Prince Helseth
44299,Karethys
23438,Medora
22788,Roi des Vers
44295,Seigneur Castellian
23443,Gortwog
