Key,Value
382613,Manoir Caarcun
1435144,L'Hôtel de la Chèvre Volante
2484750,Ruines de la Ferme Caorchom
3533330,L'Étoile Chantante de Stendarr
4582840,L'Auberge du Griffon Mort
5631489,La Renaissance Sacrée de Stendarr
6681069,Ruines de la Ferme F'igta
7730553,Le Prophète Béni de Stendarr
8779219,La Garde de Maorn
9828725,Site de l'Ancien Nheth
10878349,Atriga
11926957,Les Tombeaux de Klerd
12975535,La Cabane de la Vieille Luctta
14025104,Bubyrydata
15074640,L'Hôtel de la Chauve-Souris et de l'Oiseau
16124193,Berbaaqnia
17174726,Les Cryptes de Rhajom
18223327,Groleten
19271936,Ruines de l'Ancienne Stectti
20320547,La Ferme de Shust
21369130,Le Martyre Saint de Stendarr
22417712,Château Lhishen
23467165,Les Tombeaux de Cofylt
24516751,L'Arbre Craintif de Stendarr
25565421,Les Caveaux T'arder
26614955,Ruines de la Ferme Ghach
27663535,Ruines du Palace Tlurn'kern
28712158,Manoir Mhurgin
29760740,Le Rédempteur Larmoyant de Stendarr
30810229,Ruines du Verger Mhurp
31859850,La Toile de Azarus
32910438,La Tour de Thuze
33959037,Ruines du Manoir de Cyeghtan
35008605,Kaloguja
36057193,Ruines de la Grange de Saullur
37106662,Ruines de la Garde de Merim
38155335,La Taverne du Rat et du Château
39204823,Grange de Rlictta
40253489,Syro-Kom
41303972,La Lumière Sanglante de Stendarr
42353413,Ruines de la Cabane de la Vieille Lerkfa
43402098,Ruines de la Cour de Krofylen
44450710,La Tour de Caect'kern
45499404,Le Devin Sanglant de Stendarr
46548913,Ruines de l'Ancienne Mhorci
47597527,La Tour de Baesum
48647001,Hettubu
49695593,Ruines du Castel Rairgke
50744174,Sekbith
51793622,Palace Fholl
52842419,La Taverne de la Tasse du Diable
53891732,Ruines de la Ferme de la Vieille Sles-i
54940340,Mogandaton
55989066,La Nécropole de Rurcur
57037717,Les Caveaux Vlozir
58086314,La Toile de Tricerlorog
59135650,Ruines de la Ferme Rlethten
60184362,Le Presbytère Marexulla
61233933,Palace Grejon
