Key,Value
4,Masque de Vil Clavicus
66,Rasoir de Mehrunes
128,Masse de Molag Bal
190,Anneau d'Hircine
252,Rose de Sanguin
314,Oghma Infinium
376,Le Wabbajack
438,Anneau de Namira
500,Crâne de Corruption
562,Étoile d'Azura
624,%it Silencieux
686,%it du Sage
748,%it du Feu Sauvage
810,%it des Carreaux de Force
872,%it Brillant
934,%it de la Porte Scellée
996,%it d'Accès Incontestable
1058,%it Antidote de Venin
1120,%it de Vol de Vie
1182,%it du Feu du Sorcier
1244,%it d'Escalade
1306,%it de Marche sur l'Eau
1368,%it de Magicka
1430,%it d'Absence de Fatigue
1492,%it de Poids plume
1554,"%it, Le Protecteur"
1616,%it du Bouleversement
1678,%it de la Malédiction
1740,%it du Silence Profond
1802,%it du Crachat de Venin
1864,%it Lanceur d’Éclairs
1926,%it Gelé d'Orages de Glace
1988,%it des Éclairs
2050,%it de l'Homme Mort
2112,%it de la Guérison
2174,%it du Seigneur des Orques
2236,%it Sans Contrainte
2298,%it de la Volonté de Fer
2360,%it de la Vivacité
2422,%it de Torgo
2484,%it de Force d'âme
2546,%it de l'Amitié
2608,%it de Bonne Chance
2670,%it d'Oblivion
2732,%it des Nuages Toxiques
2794,%it de Paralysie
2856,Volendrung
2918,Anneau du Sorcier
2980,Arc d'Auriel
3042,Amulette du Nécromancien
3104,Chrysamere
3166,Armure du Seigneur
3228,Bâton de Magnus
3290,Anneau de Khajiit
3352,Armure d'Ébonite
3414,Bouclier d'Auriel
3476,Brise-Sorts
3538,Clé Squelette
3600,Lame d’Ébonite
