Key,Value
about_internal_strings,Cet ensemble contient des textes qui étaient encodés dans FALL.EXE et des textes spécifiques de Daggerfall Unity.
pleaseSelectYourHomeProvince,Choisissez votre province d'origine...
saveGame,Sauvegarder la partie
loadGame,Charger une partie
thingJustDied,%s vient de mourir.
gameSaved,Partie sauvegardée.
gameLoaded,Partie chargée.
thisHouseHasNothingOfValue,Aucun objet de valeur ici.
findLocationPrompt,Saisir le nom de l'endroit : 
rightHandEquipped,Main droite équipée.
leftHandEquipped,Main gauche équipée.
usingRightHand,Utiliser l'arme avec la main droite.
usingLeftHand,Utiliser l'arme avec la main gauche.
itemHasBroken,%s a cassé.
itemHasBrokenPlural,%s ont cassé.
cannotCarryGold,Vous ne pouvez pas transporter autant d'or.
cannotFloat,Vous êtes trop chargé pour rester à flots.
youHaveNoArrows,Vous n'avez pas de flèche.
oldSaveNoTrade,"Sauvegarde en intérieur chargée, la fenêtre de commerce ne va pas fonctionner, merci de sortir puis d'entrer à nouveau."
theBodyHasNoTreasure,Rien dans ce cadavre.
youAreTooFarAway,Vous êtes trop loin... 
youSeeAn,Vous voyez un %s.
youSeeA,Vous voyez un %s.
youSeeADeadPerson,Vous voyez un cadavre.
youSeeADead,Vous voyez un %s mort
youCollectArrows,Vous retirez vos flèches du cadavre.
loiterHowManyHours,Flâner pendant combien d'heures : 
restHowManyHours,Nombre d'heures pour se reposer :
potionRecipeFor,Récipient pour potion de %po
potionOf,Potion de %po
letterPrefix,Lettre : 
multipleAssignments,Assignation multiple de touches.
youAreEntering,Vous entrez dans %s
storeClosed,Magasin fermé. Ouvert de %d1:00 à %d2:00.
guildClosed,La guilde est fermée. Ouvert de %d1:00 à %d2:00.
any,%s
arkayDesc,Dieu de la naissance et de la mort
zenDesc,Dieu du travail et du commerce
maraDesc,Déesse de l'amour
akatoshDesc,Dieu du temps
julianosDesc,Dieu de la logique
dibellaDesc,Déesse de la beauté
stendarDesc,Dieu du pardon
kynarethDesc,Déesse de l'air
interactionIsNowInMode,L’interaction est maintenant en mode %s.
steal,voler
grab,prendre
info,info
dialogue,dialogue
residence,Résidence
youSee,Vous voyez %s.
theNamedResidence,Résidence de %s
playerResidence,Maison de %s
materialIneffective,Le matériau de votre arme est inefficace.
successfulBackstab,Attaque par derrière réussie !
languagePacified,Vous avez pacifié %e en utilisant votre compétence %s.
lockpickingSuccess,La serrure s'ouvre.
lockpickingFailure,Ça ne s'ouvre pas.
magicLock,Cette serrure est verrouillée par magie...
lockpickChance1,Cette serrure n'a rien à craindre de vous...
lockpickChance2,Que vous ouvriez cette serrure serait un miracle...
lockpickChance3,Cette serrure semble au-delà de vos compétence...
buildingNames,"Temple d'Akatosh
Temple d'Arkay
Temple de Dibella
Temple de Julianos
Temple de Kynareth
Temple de Mara
Temple de Stendarr
Temple de Zen
Ordre du Corbeau
Chevaliers du Dragon
Chevaliers du Hibou
Ordre de la Chandelle
Chevaliers de la Flamme
Ost du Cor
Chevaliers de la Rose
Chevaliers de la Roue
Ordre du Scarabée
Chevaliers du Faucon
Guilde des Mages
Guilde des Guerriers
Taverne
Bibliothèque
Forgeron d'armes
Armurier
Alchimiste
Banque
Librairie
Magasin de vêtements
Joaillerie
Prêteur sur gages"
lockpickChance,"Vous doutez de votre capacité à ouvrir cette serrure...
Cette serrure semble difficile...
Cette serrure va être un bon challenge...
Cette serrure va être intéressante...
Vous pensez pouvoir ouvrir cette serrure...
Cette serrure semble plutôt simple...
Cette serrure vous amuse...
La pauvre qualité de cette serrure vous fait rire...
Voilà qui ressemble bien peu à une serrure...
Cette serrure est une insulte à vos compétences..."
youPinchedGoldPiece,Vous prenez une pièce d'or.
youPinchedGoldPieces,Vous prenez %d pièces d'or.
youAreNotSuccessful,Vous échouez...
daysUntilFreedom,%d jours avant la liberté.
skillImprove,Votre capacité %s a augmenté.
mustDistributeBonusPoints,Vous devez distribuer tous les points bonus.
enterNewName,Saisir le nouveau nom : 
affiliation,Affiliation
rank,Rang
serviceQuests,Obtenir une quête
serviceSell,Vendre
serviceBanking,Banque
serviceIdentify,Identifier
serviceBuySpells,Acheter des sorts
serviceTraining,Entraînement
serviceTeleport,Téléportation
serviceMakeSpells,Faire des sorts
serviceBuyMagicItems,Acheter des objets magiques
serviceSellMagicItems,Vendre des objets magiques
serviceDaedraSummon,Invocation de Daedra
serviceMakeMagicItems,Faire des objets magiques
serviceRepairs,Réparer
serviceDonate,Faire un don
serviceCure,Guérir une maladie
serviceSpymaster,Maître-espion
serviceMakePotions,Faire des potions
serviceBuyPotions,Acheter des potions
serviceBuySoulgems,Acheter des pièges d'âme
serviceReceiveArmor,Recevoir une armure
serviceReceiveHouse,Recevoir une maison
serviceReceiveHouseAlready,Vous avez déjà obtenu votre maison.
