Key,Value
4,Masque de Vil Clavicus
66,Rasoir de Mehrunes
128,Masse de Molag Bal
190,Anneau d'Hircine
252,Rose de Sanguin
314,Oghma Infinium
376,Le Wabbajack
438,Anneau de Namira
500,Crâne de corruption
562,Étoile d'Azura
624,%it silencieux
686,%it du sage
748,%it du feu sauvage
810,%it des carreaux de force
872,%it brillant
934,%it de porte scellée
996,%it d'accès incontestable
1058,%it antidote de venin
1120,%it de vol de vie
1182,%it du feu du sorcier
1244,%it d'escalade
1306,%it de marche sur l'eau
1368,%it de magicka
1430,%it d'absence de fatigue
1492,%it de poids plume
1554,"%it, le Protecteur"
1616,%it du bouleversement
1678,%it de malédiction
1740,%it du silence profond
1802,%it du crachat de venin
1864,%it lanceur d'éclairs
1926,%it gelé d'orages de glace
1988,%it des éclairs
2050,%it de l'homme mort
2112,%it de guérison
2174,%it du seigneur des orques
2236,%it sans contrainte
2298,%it de volonté de fer
2360,%it de vivacité
2422,%it de Torgo
2484,%it de force d'âme
2546,%it de l'amitié
2608,%it de bonne chance
2670,%it d'Oblivion
2732,%it des nuages toxiques
2794,%it de paralysie
2856,Volendrung
2918,Anneau du sorcier
2980,Arc d'Auriel
3042,Amulette du nécromancien
3104,Chrysamere
3166,Armure du seigneur
3228,Bâton de Magnus
3290,Anneau de Khajiit
3352,Armure d'ébonite
3414,Bouclier d'Auriel
3476,Brise-sorts
3538,Clé squelette
3600,Lame d'ébonite
