Key,Value
17,Oblivion
1,Vil Clavicus
2,Mehrunes Dagon
3,Molag Bal
4,Hircine
5,Sanguin
6,Peryite
7,Malacath
8,Hermaeus Mora
10,Boéthiah
11,Namira
12,Méridia
13,Vaernima
14,Nocturne
15,Méphala
356,{.FS}la Mère de la Nuit
108,{.FS}la Confrérie noire
839,{.MP}les Entraîneurs noirs
840,{.MP}les Alchimistes noirs
841,{.MP}les Maîtres du venin
842,{.MP}les Conspirateurs noirs
843,{.MP}les Lieurs noirs
807,{.MP}les Assassins noirs
16,Azura
9,Shéogorath
450,{.MS}le Temple
240,{.MP}les Missionnaires du Temple
810,{.MP}les Trésoriers du Temple
813,{.MP}les Guérisseurs du Temple
811,{.MP}les Bénisseurs du Temple
25,Ébonarm
90,{.FS}la Citadelle d'Ébonarm
91,{.MP}les Seigneurs de Bataille
21,Arkay
82,{.MS}l'Ordre d'Arkay
83,{.MP}les Chevaliers du Cercle
453,{.MP}les Apothicaires d'Arkay
454,{.MP}les Alchimistes d'Arkay
456,{.MP}les Invocateurs d'Arkay
455,{.MP}les Lieurs d'Arkay
241,{.MP}les Professeurs d'Arkay
22,Zen
84,{.FS}la Résolution de Z'en
85,{.MP}les Chevaliers du Fer
462,{.MP}les Apothicaires de Z'en
463,{.MP}les Alchimistes de Z'en
464,{.MP}les Invocateurs de Z'en
243,{.MP}les Professeurs de Z'en
24,Mara
88,{.FS}la Bienveillance de Mara
402,Sire Quistley
89,{.MP}les Chevaliers de Mara
468,{.MP}les Apothicaires de Mara
469,{.MP}les Alchimistes de Mara
470,{.MP}les Invocateurs de Mara
245,{.MP}les Professeurs de Mara
26,Akatosh
92,{.FS}la Chantrerie d'Akatosh
93,{.MS}l'Ordre de l'Heure
385,Charvek-si
473,{.MP}les Apothicaires d'Akatosh
474,{.MP}les Alchimistes d'Akatosh
475,{.MP}les Invocateurs d'Akatosh
247,{.MP}les Professeurs d'Akatosh
27,Julianos
94,{.FS}l'École de Julianos
95,{.MP}les Chevaliers Mentors
407,Br'itsa
480,{.MP}les Artisans de Julianos
481,{.MP}les Forgerons de Julianos
482,{.MP}les Invocateurs de Julianos
249,{.MP}les Professeurs de Julianos
29,Dibella
98,{.FS}la Maison de Dibella
99,{.MS}l'Ordre du Lys
485,{.MP}les Apothicaires de Dibella
487,{.MP}les Alchimistes de Dibella
488,{.MP}les Invocateurs de Dibella
250,{.MP}les Professeurs de Dibella
33,Stendarr
106,{.MS}le Temple de Stendarr
107,{.MP}les Croisés
490,{.MP}les Apothicaires de Stendarr
491,{.MP}les Alchimistes de Stendarr
492,{.MP}les Invocateurs de Stendarr
252,{.MP}les Professeurs de Stendarr
35,Kynareth
36,{.MS}le Temple de Kynareth
37,{.MS}l'Ordre Kynarien
370,Sire Coulder
497,{.MP}les Forgeurs de sorts de Kynareth
498,{.MP}les Invocateurs de Kynareth
496,{.MP}les Enchanteurs de Kynareth
254,{.MP}les Professeurs de Kynareth
977,{.MP}les Secrets d'Oblivion
40,{.FS}la Guilde des Mages
68,{.MS}l'Archimage
69,{.MS}le Maître de guilde
369,Popudax
396,Karethys
71,{.MS}le Maître de l'Art
70,{.MS}le Maître de l'enseignement
74,{.MS}le Maître de la divination
72,{.MS}le Maître d'arme
73,{.MS}le Palatinus
76,{.MS}le Maître des initiés
60,{.MP}les Universitaires
61,{.MP}les Patriciens
62,{.FS}la Ligue des Voyageurs
63,{.MP}les Mages mercenaires
