Key,Value
22400,magnifique jeune fille
22401,guerrier ténébreux
22402,enfant inquiétant
22403,homme cornu
22404,monstruosité griffue
22405,humanoïde vert
22406,géant à quatre bras
22407,femme sombre
22408,femme blonde
22409,homme aux pieds fourchus
22410,femme brune
22411,femme vêtue de noir
22412,serpent vert
22413,géant écarlate
22414,élégant gentilhomme
22415,mégère ratatinée
22528,homme masqué de noir
22529,homme masqué de noir
22530,danseuse aux seins nus
22531,danseuse aux seins nus
22532,danseuse
22533,homme masqué de noir
22534,femme en rouge et noir
22656,vieil homme encapuchonné
22657,vieil homme avec un chapeau
22658,homme chauve
22659,femme blonde
22660,homme aux yeux luminescents
22661,artisan magicien
22784,femme encapuchonnée
22785,homme encapuchonné de rouge
22785,homme masqué
22786,homme masqué de rouge
22787,homme masqué de rouge
22788,homme aux yeux luminescents
22789,danseuse coiffée de rouge
22790,danseuse coiffée de rouge
22912,femme nue aux cheveux bruns
22913,femme nue
22914,femme mystérieuse
22915,danseuse coiffée de noir
22916,femme rousse
23040,femme en rouge et noir
23041,noble dame vêtue de bleu
23042,homme bien vêtu
23043,homme corpulent en violet
23168,homme encapuchonné de bleu
23169,jeune femme en bleu
23170,homme en robe bleu
23171,garçon en aube bleue
23172,belle blonde
23173,danseuse portant du bleu
23174,danseuse coiffée de bleu
23175,danseuse coiffée de bleu
23296,vieil homme grisonnant
23297,gros chauve
23298,homme à la barbe blonde
23299,homme barbu
23300,garçon bien vêtu
23301,bouffon
23302,bouffon
23303,homme à la barbe blanche
23304,homme portant une toque
23305,femme en gris
23306,femme en bleu
23307,accorte jeune fille
23308,laitière
23309,homme portant du brun
23310,homme sous un chapeau brun
23311,patricien blond
23312,homme à barbe blonde
23313,homme à barbe blonde
23314,jeune homme brun
23315,homme habillé de gris
23316,homme avec une veste verte
23317,vieux mendiant
23318,vieil homme en robe
23319,homme à la veste bleue
23320,vieil homme barbu
23321,marin débraillé
23322,jeune dame en vert
23323,dame élégamment vêtue
23324,femme au capuchon bleu
23325,vieil infirme pathétique
23326,chauve pitoyable
23327,chauve pitoyable
23328,putain de bonne mine
23329,prostituée
23330,putain blonde
23331,marin débraillé
23332,charmeur de serpent
23333,joueur de flûte
23334,petite fille
23335,balayeur
23336,homme à la mine d'un sage
23337,femme très remarquable
23338,page
23339,petit garçon
23340,vieille
23341,femme à mine d'aventurière
23342,beau jeune homme
23343,jolie jeune femme
23344,putain blonde
23345,jongleur
23346,flûtiste
23347,joueur de luth
23348,tambourineur
23349,jeune carillonneur
23350,homme encapuchonné
23351,homme encapuchonné
23352,femme encapuchonnée
23353,homme presque nu
23354,homme presque nu
23355,forgeron
23424,prince étincelant
23425,princesse étincelante
23426,garde
23427,garde
23428,homme à la noble allure
23429,flamboyant jeune homme
23430,roi barbu
23431,roi enturbanné
23432,reine aux cheveux blancs
23433,reine brune
23434,roi
23435,reine
23436,moine cagoulé
23437,roi jeune et beau
23438,brune magnifique
23439,vieille aveugle
23440,gros homme élégant
23441,sorcière débraillée
23442,superbe Rougegarde
23443,orque majestueux
23444,roi elfe noir
23445,reine blonde
23552,marchand aisé
23553,femme en cape
23554,homme en robe verte
23555,flûtiste bedonnant
23556,jeune homme avec un bandeau
23557,belle blonde
23558,fille aux seins nus
23559,blonde racoleuse
23560,pute blonde
23561,brune pulpeuse
23562,blonde éclatante
23563,femme nue blonde
23564,brune nue
23565,blonde nue
23566,brune nue
23567,jeune loqueteux
23568,vieux joufflu
23569,paysan costaud
23570,diablesse féroce
23571,jolie blonde
23572,homme en mauve
23573,vieil homme barbu
23574,femme avec un bâton
23575,femme en pantalon vert
23576,voyou brun
23577,jeune blond
23578,rouquine
23579,mendiant famélique
23580,rouquine
23581,blonde portant du bleu
23582,femme à la peau foncée
23583,esclave chauve
23584,guerrière ténébreuse
23585,brune plantureuse
23586,cavalier
25472,Lumière
25473,Lumière
25474,daedra
25475,Invocation
25476,Rest
25477,Cour
25478,Fosse
25479,Effet
25480,Entrée
25481,Chemin
25482,Début
25483,Quête
25484,Créer
25485,Prison
25486,Sortie de prison
25487,Monstre aléatoire
25488,Monstre
25488,Téléportation
25488,Objet de quête
42771,Gothryd
42773,Aubki
42752,Provlith
42753,Popudax
42757,Cyadasga
42756,Myniseva
42770,Mobar
42769,Bridwell
23040,Dame Bridwell
45703,Prince Lhotuu
42762,Dame Northbridge
45711,Reine Akorithi
45697,Prince Guelelith
44305,princesse Elysana
44288,Princesse Morgiah
44310,Reine Barenziah
44309,Roi Eadwyre
44304,Prince Helseth
44299,Karethys
23438,Medora
22788,Roi des Vers
44295,Seigneur Castellian
23443,Gortwog
