- Text database for game settings window.

schema: *key,text

- Tabs and section titles

gamePlay,                                           GamePlay
interface,                                          Interface
enhancements,                                       Améliorations
video,                                              Vidéo
accessibility,                                      Accessibilité

game,                                               Jeu
controls,                                           Contrôles
audio,                                              Audio
spells,                                             Sorts
tooltips,                                           Info-bulles
hud,                                                HUD
gui,                                                Interface utilisateur
light,                                              Lumières
basic,                                              Basique
advanced,                                           Avancé
automap,                                            Carte automatique
dungeonmicromap,                                    Micro-carte de donjon

- Settings and tooltip descriptions

startInDungeon,                                     Démarrer dans le donjon
startInDungeonInfo,                                 Une nouvelle partie commence dans le premier donjon
smallerDungeons,                                    Donjons plus petits
smallerDungeonsInfo,                                Les donjons aléatoires n'auront qu'un bloc intérieur et quatre blocs de bordure
randomDungeonTextures,                              Textures des donjons
randomDungeonTexturesInfo,                          Générer les textures des donjons depuis une graine aléatoire
cameraRecoilStrength,                               Force de recul de la caméra
cameraRecoilStrengthInfo,                           Force du recul de l'écran lorsque le joueur subit des dommages. Proportionnelle aux dégâts.
mouseSensitivity,                                   Sensibilité de la souris
mouseSensitivityInfo,                               Sensibilité du regard à la souris
weaponSensitivity,                                  Sensibilité de l'arme
weaponSensitivityInfo,                              Sensibilité des mouvements de l'arme selon les mouvements de la souris
movementAcceleration,                               Accélération de mouvement
movementAccelerationInfo,                           Ajoute un peu d'accélération et décélération pendant les mouvements
weaponAttackThreshold,                              Seuil de distance d'attaque
weaponAttackThresholdInfo,                          Minimum de distance par mouvement souris pour une attaque
soundFont,                                          Banque de sons
soundFontInfo,                                      Banque de sons active
alternateMusic,                                     Musique alternative
alternateMusicInfo,                                 Utiliser la version des pistes musicales optimisée pour l'OPL3
soundVolume,                                        Volume du son
soundVolumeInfo,                                    Volume du son
musicVolume,                                        Volume de la musique
musicVolumeInfo,                                    Volume de la musique
spellLighting,                                      Éclairages de sort
spellLightingInfo,                                  Active les effets d'éclairage sur les sorts
spellShadows,                                       Ombres de sort
spellShadowsInfo,                                   Active les effets d'ombres sur les sorts
instantRepairs,                                     Service de réparation immédiats
instantRepairsInfo,                                 Ne demande pas d'attendre les réparations et les rend instantanées
bowDrawback,                                        Arcs - tirer et lâcher
bowDrawbackInfo,                                    Active le tirage de l'arc en tenant le bouton droit de la souris puis lâcher pour tirer
toggleSneak,                                        Bascule faufilage
toggleSneakInfo,                                    Permet à l'action de faufilage d'être basculée plutôt que de devoir être tenue

toolTips,                                           Info-bulles
toolTipsInfo,                                       Montre des informations sur les éléments de l'interface
toolTipDelayInSeconds,                              Délai
toolTipDelayInSecondsInfo,                          Délai d'affichage des info-bulles en secondes
toolTipTextColor,                                   Couleur du texte
toolTipTextColorInfo,                               Couleur du texte des info-bulles
toolTipBackgroundColor,                             Couleur de fond
toolTipBackgroundColorInfo,                         Couleur de fond des info-bulles
crosshair,                                          Réticule
crosshairInfo,                                      Active le réticule au centre de l'écran
vitalsIndicators,                                   Indicateurs de vitalité
vitalsIndicatorsInfo,                               Montre des indicateurs sur les barres de vitalité qui montrent les changements de vitalité
interactionModeIcon,                                Icône de mode d'interaction
interactionModeIconInfo,                            Style de l'icône de contexte pour le mode d'interaction
arrowCounter,                                       Compteur de flèches
arrowCounterInfo,                                   Active un compteur de flèches sur l'écran quand on utilise un arc
showQuestJournalClocksAsCountdown,                  Horloge de compte à rebours dans le journal de quêtes
showQuestJournalClocksAsCountdownInfo,              Montre le temps restant plutôt que le temps au début de la quête
inventoryInfoPanel,                                 Panneau d'information sur l'inventaire
inventoryInfoPanelInfo,                             Panneau d'information sur l'inventaire
enhancedItemLists,                                  Liste d'items améliorée
enhancedItemListsInfo,                              Inventaire sur une grille de 16
enableModernConversationStyleInTalkWindow,          Style de conversation moderne
enableModernConversationStyleInTalkWindowInfo,      Conversation de style moderne dans la fenêtre de dialogue
iconsPositioningScheme,                             Emplacement des icônes
iconsPositioningSchemeInfo,                         Taille et position des icônes sur l'écran
helmAndShieldMaterialDisplay,                       Affichage du matériau des casques et boucliers
helmAndShieldMaterialDisplayInfo,                   Affiche le matériau des casques et des boucliers dans les popups d'info et les info-bulles
geographicBackgrounds,                              Fonds géographiques
geographicBackgroundsInfo,                          Fond contextuel pour les personnages basés sur le lieu géographique
dungeonExitWagonPrompt,                             Invite d'accès au wagon dans les donjons
dungeonExitWagonPromptInfo,                         Invite à utiliser le wagon en sortant des donjons (le wagon est toujours accessible à moins de 5 m de la sortie)
travelMapLocationsOutline,                          Contour des lieux sur la carte régionale
travelMapLocationsOutlineInfo,                      Dessine un contour autour des lieux sur les cartes régionales pour accroître la visibilité
guildQuestListBox,                                  Sélection des quêtes de guilde
guildQuestListBoxInfo,                              Présente les quêtes de guilde accessibles au joueur dans une boite de liste
bowLeftHandWithSwitching,                           Arcs uniquement dans la main gauche
bowLeftHandWithSwitchingInfo,                       Met les arcs en main gauche et autorise le changement des armes à une main - le changement se fait avec un petit délai
loiterLimitInHours,                                 Temps de repos maximum en heures
loiterLimitInHoursInfo,                             Change la limite de temps de repos en heures
automapTempleColor,                                 Couleurs des salles de guilde
automapTempleColorInfo,                             La couleur des temples et des salles de guilde sur les cartes automatiques extérieures
automapShopColor,                                   Couleur des boutiques
automapShopColorInfo,                               La couleur des boutiques sur les cartes automatiques extérieures
automapTavernColor,                                 Couleur des tavernes
automapTavernColorInfo,                             La couleur des tavernes sur les cartes automatiques extérieures
automapHouseColor,                                  Couleur des résidences
automapHouseColorInfo,                              La couleur des résidences et autres sur les cartes automatiques extérieures
dungeonMicMapQoL,                                   Bascule couleurs Micro-carte
dungeonMicMapQoLInfo,                               Inactif = couleur vanilla | Actif = utilise les couleurs ci-dessous
dunMicMapInnerColor,                                Couleur blocs intérieurs
dunMicMapInnerColorInfo,                            La couleur qu'auront les blocs intérieurs des donjons sur la micro-carte quand l'option est active
dunMicMapBorderColor,                               Couleur blocs de bordure
dunMicMapBorderColorInfo,                           La couleur qu'auront les blocs de bordure des donjons sur la micro-carte quand l'option est active

modSystem,                                          Système de mods
modSystemInfo,                                      Active le support des mods
assetInjection,                                     Injection d'assets
assetInjectionInfo,                                 Importe les surcharges d'assets depuis les mods activés et des fichiers isolés
compressModdedTextures,                             Compresse les textures de mods
compressModdedTexturesInfo,                         Importer les textures avec un format compressé qui utilise moins de mémoire graphique
gameConsole,                                        Invite de commandes
gameConsoleInfo,                                    Active la console de saisie de commandes de jeu
nearDeathWarning,                                   Alerte de fin de vie proche
