Key,Value
0,"FORCE[/center]
La force détermine la charge, la force de frappe et la facilité[/left]
à améliorer les compétences liées à la force.[/left]
Votre force de %str vous classe comme %ark.[/left]
[/pos:x=20,y=0]%dam [/pos:x=40,y=0]de modification pour vos dommages de[/left]
[/pos:x=40,y=0]combat à mains nues et avec des armes.[/left]
[/pos:x=20,y=0]%enc [/pos:x=40,y=0]kilos est votre charge maximale.[/left]
[/end]"
1,"INTELLIGENCE[/center]
L'intelligence détermine le potentiel de magie et la facilité[/left]
à améliorer les compétences liées à l'intelligence.[/left]
Votre intelligence de %int vous classe comme %ark.[/left]
[/pos:x=20,y=0]%spc points de sort sur %spt sont disponibles.[/left]
[/end]"
2,"VOLONTÉ[/center]
La volonté détermine la résistance aux sorts et la facilité[/left]
à améliorer les compétences liées à la volonté.[/left]
Votre volonté de %wil vous classe comme %ark.[/left]
[/pos:x=20,y=0]+%mad [/pos:x=40,y=0]pour la résistance à la magie.[/left]
[/end]"
3,"AGILITÉ[/center]
L'agilité détermine la capacité à atteindre une cible,[/left]
à éviter les coups et la facilité à améliorer[/left]
les compétences liées à l'agilité.[/left]
Votre agilité de %agi vous classe comme %ark.[/left]
[/pos:x=20,y=0]%thd [/pos:x=40,y=0] pour votre chance d'atteindre la cible.[/left]
[/end]"
4,"ENDURANCE[/center]
L'endurance détermine les points de vie, la vitesse de guérison,[/left]
la fatigue et la résistance aux poisons et maladies.[/left]
Votre endurance de %end vous classe comme %ark.[/left]
[/pos:x=20,y=0]%hea [/pos:x=40,y=0]pour les points de vie gagnés par niveau.[/left]
[/pos:x=20,y=0]%hmd [/pos:x=40,y=0]pour la rapidité de guérison.[/left]
[/end]"
5,"PERSONNALITÉ[/center]
La personnalité détermine la facilité à améliorer[/left]
les compétences liées à la personnalité.[/left]
Votre personnalité de %per vous classe comme %ark.[/end]"
6,"VITESSE[/center]
La vitesse détermine votre rapidité de mouvement, votre temps[/left]
de réarmement et de façon générale toutes les compétences liées[/left]
à la vitesse.[/left]
Votre vitesse de %spd vous classe comme %ark.[/left]
[/end]"
7,"CHANCE[/center]
La chance est déterminante dans toutes les actions que[/left]
vous entreprenez. Il n'y a aucune compétence pour laquelle[/left]
la chance est l'attribut de base, mais elle influence[/left]
le taux de réussite global de toutes vos actions.[/left]
Votre chance de %luc vous classe comme %ark.[/left]
[/end]"
8,"L’entraînement vous coûtera %a.[/center]
Voulez-vous vous entraîner ?[/end]"
10,"Je crois qu'on peut trouver cela à %fcn.[/end]"
11,"Je n'en ai aucune idée.[/record]
Honnêtement je n'en sais rien.[/record]
Vraiment, je ne sais pas...[/record]
Essayez de demander à quelqu'un d'autre.[/record]
Vous me le direz.[/end]"
12,Vous n'avez aucun sort dans votre livre.[/end]
13,"Aucun lieu ne s'appelle ainsi[/center]
sur votre carte.[/center]
[/end]"
14,Vous devez distribuer vos points de bonus.[/end]
15,Voulez-vous vous rendre aux gardes municipaux ?[/end]
16,Vous demandez trop de jours dans le futur.[/end]
17,Il est illégal de camper dans ou à côté d'une ville.[/end]
18,Vous êtes en bonne santé.[/end]
19,Vous n'avez aucune affiliation.[/end]
20,Il n'y a aucune âme à libérer dans l’étoile d'Azura.[/end]
21,Vous ne pouvez pas améliorer une compétence à plus de 50 %.[/end]
22,"Vous êtes à %cn.[/center]
Il est %tim et nous sommes[/center]
le %dat.[/center]
Les représentants de la loi de %crn[/center]
vous considèrent comme %ltn.[/center]
[/end]"
23,"Vous devez attendre au moins 12 heures avant[/center]
de vous entraîner davantage.[/center]
[/end]"
24,"Ceci n'a pas besoin d'être réparé.[/center]
[/end]"
25,"Vous avez %gii pièces d'or.[/center]
Combien voulez-vous en laisser ici ?[/center]
[/input] [/center]
[/end]"
26,"Vous ne pouvez pas vous reposer[/center]
plus de 99 heures d'affilée.[/center]
[/end]"
27,"Vous ne pouvez flâner plus[/center]
de 3 heures en une seule fois.[/center]
[/end]"
28,%hnt[/end]
29,"%it est cassé.[/center]
[/end]"
30,"Vous n'êtes pas malade.[/center]
[/end]"
31,"Vous souhaitez voyager vers[/center]
%tcn ?[/center]
[/end]"
32,"L'âme est libérée.[/center]
[/end]"
33,"Vous ne pouvez pas réparer les objets magiques.[/center]
[/end]"
34,"Vous n'avez pas d'ingrédients pour potion.[/center]
[/end]"
35,"Votre réputation est à présent :[/left]
[/left]
Roturiers : [/pos:x=70,y=0]%r1[/left]
Marchands : [/pos:x=70,y=0]%r2[/left]
Savants : [/pos:x=70,y=0]%r3[/left]
Nobles : [/pos:x=70,y=0]%r4[/left]
Bas-fonds : [/pos:x=70,y=0]%r5[/left]
[/end]"
36,"Cela fait trop longtemps que vous n'avez pas assouvi[/center]
votre besoin de tuer en tant que vampire.[/center]
Vous n'arrivez plus à récupérer votre force.[/center]
[/end]"
37,"Il semblerait que ce soit une propriété privée.[/center]
Voulez-vous toujours y jeter un coup d’œil ?[/center]
[/end]"
38,"Voulez-vous accéder à votre chariot[/center]
et rester à %cn ?[/center]
[/end]"
