Key,Value
1,Porte bloquée de Fenrik
2,Flottabilité
3,Piqûre Glaciale
4,Lévitation
5,Lumière
6,Invisibilité
7,Feu du Sorcier
8,Choc
9,Absorption de Force
10,Action Libre
11,Résistance au Froid
12,Résistance au Feu
13,Résistance aux Chocs
14,Boule de Feu
15,Guérison du Poison
16,Boule de glace
17,Bouclier
18,Ouverture
19,Verrou du Sorcier
20,Tempête de Glace
22,Bouclier contre les Sorts
23,Silence
24,Sang de Troll
25,Tempête de Feu
26,Résistance au Poison
27,Drain de Magicka
28,Silence Lointain
29,Nuage Toxique
30,Miroir de Shalidor
31,Foudre
32,Feu Divin
33,Traînée de Feu
34,Paralysie du Sorcier
35,Regard de la Méduse
36,Boule Foudroyante
37,Chute Ralentie
38,Saut
39,Résistance aux Sorts
40,Vitalité
41,Marche sur l'Eau
42,Respiration sous l'Eau
44,Caméléon
45,Forme Obscure
46,Réflexion des Sorts
47,Absorption des Sorts
49,Langues
50,Paralysie
51,Sommeil
52,Toucher Vampirique
53,Poigne de Sommeil
54,Absorption de Magicka
55,Sphère d'anéantissement
56,Poigne de désintégration
57,Bannissement de Daedra
58,Mot Saint
59,Sphère anti Magicka
60,Antidote de Balyna
61,Guérison de Maladie
62,Piège d’Âme
64,Guérison
66,Contact arachnéen
67,Absorption d’Énergie
71,Nux Vomica
72,Arsenic
73,Ménisperme
74,Herbes séchées
75,Somnalius
76,Acide Pyrique
77,Fléau du sorcier
78,Thyroïne
79,Indulcet
80,Sursum
81,Quaesto Vil
82,Force d'Orque
83,Sagesse
84,Volonté de Fer
85,Dextérité
86,Pieds de Nortogo
87,Courage
88,Charisme
89,Bonne Fortune
90,Charme Mortel
91,Apaisement d'Humanoïde
92,Lycanthropie
94,Rappel
97,Baume de Balyna
98,Repos des Morts-Vivants
99,Apprivoisement
